Reference Point Name,Volttron Point Name,Units,Unit Details,BACnet Object Type,Property,Writable,Index,Write Priority,Notes
Calendar_1,Calendar_1,Boolean,,calendar,presentValue,FALSE,1,,
Calendar_2,Calendar_2,Boolean,,calendar,presentValue,FALSE,2,,
Calendar_3,Calendar_3,Boolean,,calendar,presentValue,FALSE,3,,
Calendar_4,Calendar_4,Boolean,,calendar,presentValue,FALSE,4,,
Calendar_5,Calendar_5,Boolean,,calendar,presentValue,FALSE,5,,
Module Halted Alarm,Module Halted Alarm,Enum,0-1,binaryValue,presentValue,FALSE,4000000,,See modstat. Restart control module then download.
All Programs Stopped Alarm,All Programs Stopped Alarm,Enum,0-1,binaryValue,presentValue,FALSE,4000001,,See modstat. Fix programs/properties and download.
Duplicate Address Alarm,Duplicate Address Alarm,Enum,0-1,binaryValue,presentValue,FALSE,4000002,,See modstat for duplicate ARCNET address.
Locked I/O Alarm,Locked I/O Alarm,Enum,0-1,binaryValue,presentValue,FALSE,4000003,,"Points locked in this module's program_x, where x="
Control Program Alarm,Control Program Alarm,Enum,0-1,binaryValue,presentValue,FALSE,4000004,,See modstat for details.
Program Stopped Alarm,Program Stopped Alarm,Enum,0-1,binaryValue,presentValue,FALSE,4000005,,See modstat. Fix program/properties then download.
Excessive COV Alarm,Excessive COV Alarm,Enum,0-1,binaryValue,presentValue,FALSE,4000006,,Excessive COV Subscription updates detected.
Flow Control Alarm,Flow Control Alarm,Enum,0-1,binaryValue,presentValue,FALSE,4001000,,Flow control devices have errors.
zone_co2_1,zone_co2_1,partsPerMillion,0.00 to 1000.00,analogInput,presentValue,FALSE,6,,Zone CO2
co2_stpt_1,co2_stpt_1,partsPerMillion,(default 750.0),analogValue,presentValue,FALSE,14,,Maximum CO2 Level
min_cfm_1,min_cfm_1,cubicFeetPerMinute,(default 25.0),analogValue,presentValue,FALSE,16,,Minimum Airflow
ht_dat_lim_diff_1,ht_dat_lim_diff_1,degreesFahrenheit,(default 20.0),analogValue,presentValue,FALSE,9,,Discharge Air Temperature Heat Limit
da_temp_1,da_temp_1,degreesFahrenheit,0.00 to 120.00,analogInput,presentValue,FALSE,3,,Discharge Air Temperature
zone_rh_1,zone_rh_1,percentRelativeHumidity,0.00 to 100.00,analogInput,presentValue,FALSE,7,,Zone Relative Humidity
metric_conv_1,metric_conv_1,noUnits,(default 32.0),analogValue,presentValue,FALSE,15,,Metric Conversion
